,0
0,Nintendogs
1,Pokemon Diamond/Pokemon Pearl
2,Pokemon Ruby/Pokemon Sapphire
3,Pokemon Black/Pokemon White
4,Call of Duty: Black Ops 3
5,Pokemon HeartGold/Pokemon SoulSilver
6,Pokemon FireRed/Pokemon LeafGreen
7,Super Mario 64
8,Pokemon Black 2/Pokemon White 2
9,Pokémon Platinum Version
10,Star Wars Battlefront (2015)
11,Crash Bandicoot 2: Cortex Strikes Back
12,Crash Bandicoot
13,FIFA 12
14,Pokémon Emerald Version
15,Super Mario World
16,Pokemon Stadium
17,Tomb Raider II
18,Super Mario Bros. 3
19,Super Smash Bros. for Wii U and 3DS
20,Warzone 2100
21,Spyro the Dragon
22,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness
23,Monster Hunter Freedom 3
24,The Last of Us
25,Dragon Quest VII: Warriors of Eden
26,FIFA 12
27,Frogger
28,FIFA Soccer 07
29,Namco Museum Vol.3
30,Namco Museum Vol.1
31,Resident Evil Director's Cut
32,Resident Evil 3: Nemesis
33,Friend Collection
34,SOCOM: U.S. Navy SEALs
35,Star Wars: Battlefront II
36,WWF SmackDown!
37,Croc: Legend of the Gobbos
38,Tomb Raider III: Adventures of Lara Croft
39,LEGO Star Wars: The Video Game
40,Rugrats in Paris: The Movie
41,Spyro 2: Ripto's Rage!
42,WWF War Zone
43,Rugrats: Search For Reptar
44,English Training: Have Fun Improving Your Skills!
45,Gran Turismo (PSP)
46,Tekken
47,L.A. Noire
48,007: Tomorrow Never Dies
49,Need for Speed III: Hot Pursuit
50,Star Wars Episode I Racer
51,Rayman
52,wwe Smackdown vs. Raw 2006
53,SOCOM II: U.S. Navy SEALs
54,Super Mario World 2: Yoshi's Island
55,Need for Speed: Most Wanted
56,Colin McRae Rally
57,Hot Shots Golf
58,A Bug's Life
59,Mortal Kombat Trilogy
60,Pokémon Stadium 2
61,L.A. Noire
62,Mario vs. Donkey Kong: Mini-Land Mayhem!
63,Star Wars: Shadows of the Empire
64,Pac-Man: Adventures in Time
65,Super Mario All-Stars: Limited Edition
66,Ghostbusters: The Video Game (DS Version)
67,Pokémon Colosseum
68,Tomb Raider (2013)
69,PES 2009: Pro Evolution Soccer
