,Name,Platform,metascore,user_score,release_date,positive_critics,neutral_critics,negative_critics,positive_users,neutral_users,negative_users,developer,number_players,rating
0,Wii Sports,wii,"
76
",8.0,"Nov 19, 2006",31,20,0,105,40,3,"
                    Nintendo                ",No Online Multiplayer,E
1,Mario Kart Wii,wii,"
82
",8.4,"Apr 27, 2008",65,7,1,235,62,22,"
                    Nintendo                ",Up to 12 ,E
2,Wii Sports Resort,wii,"
80
",8.1,"Jul 26, 2009",60,13,0,62,15,4,"
                    Nintendo                ",1-4 ,E
3,New Super Mario Bros.,ds,"
89
",8.5,"May 15, 2006",62,3,0,137,28,2,"
                    Nintendo                ",No Online Multiplayer,E
4,Wii Play,wii,"
58
",6.5,"Feb 12, 2007",2,31,8,32,27,15,"
                    Nintendo                ",No Online Multiplayer,E
5,New Super Mario Bros. Wii,wii,"
87
",8.3,"Nov 15, 2009",75,5,0,130,35,13,"
                    Nintendo                ",No Online Multiplayer,E
6,Mario Kart DS,ds,"
91
",8.7,"Nov 14, 2005",63,1,0,177,20,9,"
                    Nintendo                ",No Online Multiplayer,E
7,Wii Fit,wii,"
80
",7.7,"May 19, 2008",52,11,0,42,11,9,"
                    Nintendo                ",1 Player,E
8,Wii Fit Plus,wii,"
80
",7.4,"Oct  4, 2009",29,4,0,14,3,2,"
                    Nintendo                ",,E
9,Kinect Adventures!,xbox-360,"
61
",6.3,"Nov  4, 2010",5,35,5,12,16,5,"
                    Good Science Studio                ",2 ,E
10,Grand Theft Auto V,playstation-3,"
97
",8.3,"Sep 17, 2013",50,0,0,589,100,65,"
                    Rockstar North                ",Up to 16 ,M
11,Grand Theft Auto: San Andreas,playstation-2,"
95
",9.1,"Oct 26, 2004",79,1,0,499,34,29,"
                    Rockstar North                ",1-2 ,M
12,Brain Age: Train Your Brain in Minutes a Day,ds,"
77
",7.7,"Apr 17, 2006",40,17,1,22,6,4,"
                    Nintendo                ",1-16 ,E
13,Grand Theft Auto V,xbox-360,"
97
",8.3,"Sep 17, 2013",57,1,0,653,94,62,"
                    Rockstar North                ",Up to 16 ,M
14,Grand Theft Auto: Vice City,playstation-2,"
95
",8.8,"Oct 27, 2002",62,0,0,218,14,13,"
                    Rockstar North                ",1 Player,M
15,Brain Age 2: More Training in Minutes a Day,ds,"
77
",7.3,"Aug 20, 2007",29,8,0,6,5,1,"
                    Nintendo                ",1-16 ,E
16,Gran Turismo 3: A-Spec,playstation-2,"
95
",8.4,"Jul  9, 2001",53,1,0,107,11,9,"
                    Polyphony Digital                ",1-2 ,E
17,Call of Duty: Modern Warfare 3,xbox-360,"
88
",3.5,"Nov  8, 2011",79,2,0,"1,311",464,"2,535","
                    Infinity Ward, Sledgehammer Games                ",Up to 18 ,M
18,Call of Duty: Black Ops,xbox-360,"
87
",6.6,"Nov  9, 2010",83,6,0,266,137,126,"
                    Treyarch                ",Up to 18 ,M
